State,Cases,Range,
Arizona,3,1 to 2,
Arkansas,1,1 to 2,
California,136,1 to 2,
Colorado,9,1 to 2,
Connecticut,1,1 to 2,
District of Columbia,60,1 to 2,
Florida,72,1 to 2,
Georgia,19,1 to 2,
Hawaii,6,1 to 2,
Idaho,1,1 to 2,
Illinois,91,1 to 2,
Indiana,5,1 to 2,
Iowa,1,1 to 2,
Kentucky,2,1 to 2,
Maryland,14,1 to 2,
Massachusetts,30,1 to 2,
Michigan,2,1 to 2,
Minnesota,8,1 to 2,
Missouri,3,1 to 2,
Nebraska,1,1 to 2,
Nevada,4,1 to 2,
New Hampshire,1,1 to 2,
New Jersey,8,1 to 2,
New York,131,1 to 2,
North Carolina,3,1 to 2,
Ohio,3,1 to 2,
Oklahoma,2,1 to 2,
Oregon,5,1 to 2,
Pennsylvania,16,1 to 2,
Puerto Rico,1,1 to 2,
Rhode Island,1,1 to 2,
Texas,23,1 to 2,
Utah,6,1 to 2,
Virginia,17,1 to 2,
Washington,10,1 to 2,
Wisconsin,1,1 to 2,
Non U.S. resident in the U.S.,3,1 to 2,
