State,Cases,Range
Alabama,5,1 to 2
Arizona,35,1 to 2
Arkansas,4,1 to 2
California,356,1 to 2
Colorado,53,1 to 2
Connecticut,22,1 to 2
Delaware,3,1 to 2
District of Columbia,139,1 to 2
Florida,273,1 to 2
Georgia,268,1 to 2
Hawaii,10,1 to 2
Idaho,2,1 to 2
Illinois,344,1 to 2
Indiana,33,1 to 2
Iowa,7,1 to 2
Kansas,2,1 to 2
Kentucky,4,1 to 2
Louisiana,25,1 to 2
Maryland,87,1 to 2
Massachusetts,82,1 to 2
Michigan,24,1 to 2
Minnesota,20,1 to 2
Mississippi,1,1 to 2
Missouri,8,1 to 2
Nebraska,5,1 to 2
Nevada,11,1 to 2
New Hampshire,6,1 to 2
New Jersey,81,1 to 2
New Mexico,7,1 to 2
New York,990,1 to 2
North Carolina,34,1 to 2
North Dakota,1,1 to 2
Ohio,15,1 to 2
Oklahoma,4,1 to 2
Oregon,40,1 to 2
Pennsylvania,84,1 to 2
Puerto Rico,9,1 to 2
Rhode Island,10,1 to 2
South Carolina,12,1 to 2
South Dakota,1,1 to 2
Tennessee,18,1 to 2
Texas,220,1 to 2
Utah,11,1 to 2
Virginia,39,1 to 2
Washington,69,1 to 2
West Virginia,1,1 to 2
Wisconsin,9,1 to 2
Non-US Resident,3,1 to 2
