State,Cases,Range
Alabama,6,1 to 2
Arizona,41,1 to 2
Arkansas,4,1 to 2
California,799,1 to 2
Colorado,53,1 to 2
Connecticut,28,1 to 2
Delaware,3,1 to 2
District of Columbia,205,1 to 2
Florida,332,1 to 2
Georgia,312,1 to 2
Hawaii,10,1 to 2
Idaho,3,1 to 2
Illinois,385,1 to 2
Indiana,37,1 to 2
Iowa,9,1 to 2
Kansas,1,1 to 2
Kentucky,6,1 to 2
Louisiana,28,1 to 2
Maine,1,1 to 2
Maryland,101,1 to 2
Massachusetts,113,1 to 2
Michigan,28,1 to 2
Minnesota,28,1 to 2
Mississippi,1,1 to 2
Missouri,6,1 to 2
Nebraska,8,1 to 2
Nevada,11,1 to 2
New Hampshire,7,1 to 2
New Jersey,102,1 to 2
New Mexico,7,1 to 2
New York,1228,1 to 2
North Carolina,15,1 to 2
North Dakota,1,1 to 2
Ohio,17,1 to 2
Oklahoma,8,1 to 2
Oregon,51,1 to 2
Pennsylvania,114,1 to 2
Puerto Rico,10,1 to 2
Rhode Island,16,1 to 2
South Carolina,13,1 to 2
South Dakota,1,1 to 2
Tennessee,21,1 to 2
Texas,287,1 to 2
Utah,22,1 to 2
Virginia,39,1 to 2
Washington,103,1 to 2
West Virginia,2,1 to 2
Wisconsin,13,1 to 2
Non-US Resident,3,1 to 2
