State,Cases,Range
Alabama,6,1 to 2
Arizona,22,1 to 2
Arkansas,3,1 to 2
California,356,1 to 2
Colorado,31,1 to 2
Connecticut,16,1 to 2
Delaware,3,1 to 2
District of Columbia,110,1 to 2
Florida,226,1 to 2
Georgia,158,1 to 2
Hawaii,8,1 to 2
Idaho,2,1 to 2
Illinois,230,1 to 2
Indiana,35,1 to 2
Iowa,5,1 to 2
Kansas,2,1 to 2
Kentucky,4,1 to 2
Louisiana,17,1 to 2
Maryland,49,1 to 2
Massachusetts,55,1 to 2
Michigan,19,1 to 2
Minnesota,19,1 to 2
Missouri,8,1 to 2
Nebraska,5,1 to 2
Nevada,8,1 to 2
New Hampshire,3,1 to 2
New Jersey,41,1 to 2
New Mexico,7,1 to 2
New York,830,1 to 2
North Carolina,13,1 to 2
North Dakota,1,1 to 2
Ohio,9,1 to 2
Oklahoma,5,1 to 2
Oregon,9,1 to 2
Pennsylvania,58,1 to 2
Puerto Rico,12,1 to 2
Rhode Island,7,1 to 2
South Carolina,9,1 to 2
South Dakota,1,1 to 2
Tennessee,16,1 to 2
Texas,61,1 to 2
Utah,11,1 to 2
Virginia,40,1 to 2
Washington,53,1 to 2
West Virginia,1,1 to 2
Wisconsin,6,1 to 2
Non-US Resident,3,1 to 2
